retailer_id,zone,onboard_date,commission_rate
R001,West,2023-03-01,2.39
R002,South,2023-07-01,2.03
R003,East,2023-06-01,3.32
R004,North,2023-10-01,1.58
R005,West,2023-07-01,3.94
R006,North,2023-04-01,2.99
R007,South,2023-09-01,3.51
R008,East,2023-05-01,1.96
R009,South,2023-05-01,2.88
R010,North,2023-07-01,4.7
R011,West,2023-08-01,3.16
R012,East,2023-07-01,2.3
R013,West,2023-03-01,4.77
R014,North,2023-10-01,2.21
R015,East,2023-04-01,2.0
R016,West,2023-04-01,3.25
R017,East,2023-04-01,4.1
R018,North,2023-11-01,4.18
R019,West,2023-04-01,3.14
R020,Central,2023-08-01,1.7
R021,East,2023-03-01,3.56
R022,North,2023-03-01,2.15
R023,North,2023-05-01,2.29
R024,Central,2023-12-01,1.79
R025,East,2023-01-01,2.44
R026,East,2023-01-01,1.84
R027,East,2023-10-01,2.96
R028,West,2023-07-01,4.47
R029,East,2023-12-01,2.34
R030,North,2023-07-01,4.2
R031,South,2023-07-01,2.57
R032,Central,2023-03-01,1.5
R033,North,2023-10-01,4.08
R034,East,2023-06-01,2.14
R035,North,2023-03-01,3.97
R036,West,2023-05-01,4.07
R037,West,2023-05-01,4.61
R038,West,2023-02-01,4.7
R039,Central,2023-03-01,2.91
R040,North,2023-01-01,4.23
R041,North,2023-06-01,2.36
R042,North,2023-06-01,2.62
R043,West,2023-04-01,1.78
R044,East,2023-11-01,4.26
R045,West,2023-06-01,3.23
R046,East,2023-04-01,2.95
R047,North,2023-02-01,3.48
R048,North,2023-03-01,4.15
R049,Central,2023-01-01,3.58
R050,West,2023-07-01,4.93
R051,East,2023-09-01,2.72
R052,North,2023-11-01,1.78
R053,Central,2023-05-01,1.7
R054,West,2023-12-01,4.71
R055,East,2023-11-01,3.75
R056,South,2023-07-01,2.13
R057,North,2023-03-01,2.76
R058,West,2023-02-01,4.01
R059,Central,2023-03-01,2.81
R060,West,2023-08-01,1.57
R061,North,2023-04-01,2.76
R062,East,2023-03-01,3.94
R063,North,2023-06-01,2.46
R064,North,2023-05-01,2.86
R065,East,2023-04-01,4.77
R066,East,2023-11-01,4.07
R067,South,2023-10-01,4.08
R068,East,2023-09-01,4.63
R069,West,2023-06-01,3.81
R070,Central,2023-07-01,3.36
R071,West,2023-08-01,4.95
R072,West,2023-07-01,3.89
R073,East,2023-11-01,1.93
R074,East,2023-07-01,1.6
R075,Central,2023-01-01,2.95
R076,Central,2023-11-01,4.34
R077,East,2023-06-01,3.19
R078,South,2023-02-01,2.08
R079,West,2023-04-01,1.62
R080,Central,2023-04-01,2.03
R081,Central,2023-05-01,3.92
R082,Central,2023-11-01,3.81
R083,North,2023-08-01,2.93
R084,West,2023-06-01,1.93
R085,South,2023-02-01,4.38
R086,North,2023-11-01,2.83
R087,South,2023-12-01,3.6
R088,West,2023-10-01,3.03
R089,North,2023-09-01,4.33
R090,Central,2023-10-01,4.69
R091,South,2023-12-01,2.4
R092,North,2023-11-01,1.52
R093,South,2023-04-01,4.18
R094,South,2023-10-01,3.29
R095,Central,2023-08-01,4.94
R096,Central,2023-11-01,2.44
R097,South,2023-05-01,4.74
R098,Central,2023-11-01,2.53
R099,North,2023-12-01,2.39
R100,North,2023-01-01,3.48
